date,state,cfr,hospitals,hospitals_per_100k
2020-03-01,New York,0.0,215,1.1
2020-03-02,New York,0.0,215,1.1
2020-03-03,New York,0.0,215,1.1
2020-03-04,New York,0.0,215,1.1
2020-03-05,New York,0.0,215,1.1
2020-03-06,New York,0.0,215,1.1
2020-03-07,New York,0.0,215,1.1
2020-03-08,New York,0.0,215,1.1
2020-03-09,New York,0.0,215,1.1
2020-03-10,New York,0.0,215,1.1
2020-03-11,New York,0.0,215,1.1
2020-03-12,New York,0.0,215,1.1
2020-03-13,New York,0.0,215,1.1
2020-03-14,New York,0.33,215,1.1
2020-03-15,New York,0.82,215,1.1
2020-03-16,New York,1.05,215,1.1
2020-03-17,New York,1.31,215,1.1
2020-03-18,New York,1.34,215,1.1
2020-03-19,New York,0.94,215,1.1
2020-03-20,New York,0.96,215,1.1
2020-03-21,New York,0.92,215,1.1
2020-03-22,New York,0.93,215,1.1
2020-03-23,New York,0.88,215,1.1
2020-03-24,New York,1.03,215,1.1
2020-03-25,New York,1.15,215,1.1
2020-03-26,New York,1.29,215,1.1
2020-03-27,New York,1.44,215,1.1
2020-03-28,New York,1.75,215,1.1
2020-03-29,New York,1.97,215,1.1
2020-03-30,New York,2.24,215,1.1
2020-03-31,New York,2.53,215,1.1
2020-04-01,New York,2.86,215,1.1
2020-04-02,New York,3.17,215,1.1
2020-04-03,New York,3.58,215,1.1
2020-04-04,New York,3.91,215,1.1
2020-04-05,New York,4.3,215,1.1
2020-04-06,New York,4.61,215,1.1
2020-04-07,New York,5.07,215,1.1
2020-04-08,New York,5.38,215,1.1
2020-04-09,New York,5.66,215,1.1
2020-04-10,New York,5.88,215,1.1
2020-04-11,New York,6.1,215,1.1
2020-04-12,New York,6.33,215,1.1
2020-04-13,New York,6.57,215,1.1
2020-04-14,New York,6.82,215,1.1
2020-04-15,New York,6.88,215,1.1
2020-04-16,New York,6.94,215,1.1
2020-04-17,New York,7.06,215,1.1
2020-04-18,New York,7.13,215,1.1
2020-04-19,New York,7.21,215,1.1
2020-04-20,New York,7.32,215,1.1
2020-04-21,New York,7.44,215,1.1
2020-04-22,New York,7.51,215,1.1
2020-04-23,New York,7.54,215,1.1
2020-04-24,New York,7.52,215,1.1
2020-04-25,New York,7.43,215,1.1
2020-04-26,New York,7.44,215,1.1
2020-04-27,New York,7.5,215,1.1
2020-04-28,New York,7.59,215,1.1
2020-04-29,New York,7.64,215,1.1
2020-04-30,New York,7.63,215,1.1
2020-05-01,New York,7.6,215,1.1
2020-05-02,New York,7.55,215,1.1
2020-05-03,New York,7.64,215,1.1
2020-05-04,New York,7.64,215,1.1
2020-05-05,New York,7.66,215,1.1
